code	name	badHealthHi	badHealthLo	goodHeathHi	goodHeathLo	ownershipHi	ownershipLo	rentingHi	rentingLo	youngHi	youngLo	oldHi	oldLo	christianHi	christianLo	aethiestHo	aethiestLo	asianHi	asianLo	blackHi	blackLo	whiteHi	whiteLo
synE06000001	Hartlepool	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	true	true	false
synE06000002	Middlesbrough	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE06000003	Redcar and Cleveland	true	false	false	true	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	true	true	false
synE06000004	Stockton-on-Tees	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE06000005	Darlington	true	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE06000006	Halton	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	true	false	true	false	false	true	false
synE06000007	Warrington	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false
synE06000008	Blackburn with Darwen	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	true	true	false	false	false	false	false
synE06000009	Blackpool	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE06000010	Kingston upon Hull	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false
synE06000011	East Riding of Yorkshire	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE06000012	North East Lincolnshire	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE06000013	North Lincolnshire	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE06000014	York	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false
synE06000015	Derby	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE06000016	Leicester	false	false	false	false	false	false	false	false	true	false	false	true	false	true	false	false	true	false	false	false	false	true
synE06000017	Rutland	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE06000018	Nottingham	false	false	false	false	false	false	false	false	false	false	false	true	false	true	true	false	false	false	false	false	false	false
synE06000019	Herefordshire	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE06000020	Telford and Wrekin	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE06000021	Stoke-on-Trent	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE06000022	Bath and North East Somerset	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false
synE06000023	Bristol	false	true	true	false	false	true	false	false	false	false	false	false	false	true	true	false	false	false	false	false	false	false
